danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.69,0.35,-8.571,0.05,0.57,0.0,0.0907,0.428,79.986,5xAfbvM73TbDlFAHMMbmFR,261000
0.593,0.932,-3.464,0.267,0.0961,0.324,0.332,0.13,144.045,5MIrpRhHMcOrfF5vU5M99v,203389
0.58,0.7,-5.815,0.0501,0.00566,0.0,0.276,0.184,80.037,5o4DHW80M4NEk362yt0RvB,181869
0.688,0.608,-6.69,0.0692,0.134,0.0,0.205,0.57,179.968,1qGdRLsyArZ6KMtgSAzX9N,226667
0.695,0.761,-3.983,0.0321,0.637,0.0,0.119,0.659,99.986,5dQk89QlmTypS5BfvGWS4R,186840
0.606,0.474,-8.498,0.0308,0.671,9.09e-06,0.114,0.43,94.967,6ymoA9aCgqTyoQLIeR7vCX,208000
0.585,0.862,-5.031,0.0355,0.398,1.05e-06,0.282,0.549,106.017,2cIW6ssgN3U8w8dcbuODlL,217359
0.849,0.662,-8.296,0.105,0.0363,0.0,0.0869,0.716,94.987,0PyhjvK8iB3LSR66EFS7Oz,235579
0.517,0.417,-11.892,0.0523,0.772,3.41e-06,0.102,0.486,131.587,3CIr9XW085RtNKY1EQFdlJ,194547
0.38,0.376,-10.55,0.0349,0.865,1.3e-06,0.194,0.28,147.428,5Fw2cKDApGGFhuB3V4zOx7,212245
0.922,0.399,-9.068,0.0782,0.258,0.123,0.316,0.942,94.02,03qYMzZ4ynYAYFC1SehOFq,261064
0.598,0.59,-8.872,0.0447,0.578,0.00235,0.177,0.454,138.008,2kMCDXew7ONxhkFUTot07Z,221087
0.664,0.277,-10.961,0.0536,0.965,0.0128,0.067,0.261,164.463,6hKWC4SUpdzgedokLgnJVI,251729
0.9,0.593,-7.753,0.0373,0.106,0.0,0.121,0.906,119.989,7f4ZyT9DF9Rq4SKmBLLEJ5,266802
0.533,0.369,-11.427,0.0285,0.341,9.9e-05,0.288,0.138,124.697,0QWNHJweZDANiMApK4obzc,398001
0.637,0.292,-14.769,0.0288,0.671,0.00407,0.134,0.34,129.895,7Bmezk4SIwXiH6PLczNtvu,244114
0.477,0.819,-7.08,0.0322,1.39e-05,0.708,0.302,0.281,132.956,2qYdK2xPs3nDuatHyu7JKf,347369
0.543,0.26,-11.953,0.0488,0.897,3.31e-05,0.0797,0.347,136.138,16kbZziWn4qI1jZn1RbAMF,211765
0.511,0.172,-14.14,0.0285,0.827,0.00608,0.104,0.199,134.982,1F2RMDfGd8CidKN0jBO8hO,328177
0.373,0.171,-12.638,0.0342,0.852,2.19e-05,0.1,0.388,119.306,6WZRsjIGXMOApspcoFF7r9,246510
0.359,0.075,-17.844,0.034,0.948,0.0198,0.0976,0.0931,107.159,0BhZdodHsSLv8Qv7WBIpLs,315556
0.176,0.441,-11.046,0.0308,0.589,0.000296,0.136,0.143,170.106,2dQyFlZkJMZIYGstpds58V,331330
0.598,0.4,-9.285,0.0279,0.21,0.000164,0.135,0.275,122.883,0F74zzP9cTetLDVieDh0PC,231433
0.657,0.573,-7.486,0.0239,0.489,1.06e-05,0.178,0.454,100.01,40DOGci3rs2SHHeSmDZWbP,290400
0.632,0.379,-12.636,0.0314,0.482,0.000219,0.263,0.306,127.917,6a1QjgnYLDdQL6ZpABrTCV,214094
0.693,0.556,-9.085,0.0386,0.148,1.23e-06,0.112,0.396,127.966,7G7hoAYSGYqIoVqsJ4AczK,234082
0.591,0.75,-7.333,0.0386,0.0725,1.57e-05,0.24,0.246,120.024,24hjNSE30UcG8NWpAtPgX7,288187
0.685,0.351,-13.065,0.0303,0.725,0.0,0.0785,0.505,109.931,2xagZuX0xAnDckWapv4JGZ,203964
0.299,0.178,-11.279,0.03,0.804,0.000366,0.0867,0.0653,98.92,7Ja9xfr9nlVNCfpwTZfx37,207209
0.592,0.714,-5.434,0.0355,0.77,0.0032,0.106,0.364,89.972,5xnpQscDrIyTi3p3gWqFg9,195985
0.684,0.458,-8.129,0.156,0.309,9.82e-05,0.109,0.511,84.97,2kLE2eGUQXdwdcTrscPTdL,154387
0.789,0.38,-14.124,0.231,0.501,0.00329,0.175,0.308,159.944,2iCToHd1rrOWI8Rk1jRmVo,189695
0.726,0.467,-6.217,0.101,0.194,0.0,0.0879,0.559,128.006,3YbnBU5UlqB7uglqKG9EQf,253159
